initial_trust,initial_risk,round,trust
0.1,0.18947368421052632,86,0.009846075796712251
0.1,0.18947368421052632,87,0.009303135161467795
0.1,0.18947368421052632,88,0.008779035458562238
0.1,0.18947368421052632,89,0.008336973181711437
0.1,0.18947368421052632,90,0.008133095337663359
0.1,0.18947368421052632,91,0.00795315862509922
0.1,0.18947368421052632,92,0.007717921001980904
0.1,0.18947368421052632,93,0.007499376261167451
0.1,0.18947368421052632,94,0.007325132580344795
0.1,0.18947368421052632,95,0.0071432366316871365
0.1,0.18947368421052632,96,0.006982038421395544
0.1,0.18947368421052632,97,0.006806015936924989
0.1,0.18947368421052632,98,0.006569873388873795
0.1,0.18947368421052632,99,0.0063869510294429135
0.1,0.2368421052631579,0,0.1
0.1,0.2368421052631579,1,0.09843390369611885
0.1,0.2368421052631579,2,0.09643106404978435
0.1,0.2368421052631579,3,0.0944295946581867
0.1,0.2368421052631579,4,0.09278540255284083
0.1,0.2368421052631579,5,0.09113596521514668
0.1,0.2368421052631579,6,0.08953447556997039
0.1,0.2368421052631579,7,0.08811570118553914
0.1,0.2368421052631579,8,0.08646621569778323
0.1,0.2368421052631579,9,0.08511330760050599
0.1,0.2368421052631579,10,0.08364917890468261
0.1,0.2368421052631579,11,0.08215979307938837
0.1,0.2368421052631579,12,0.08059694970993485
0.1,0.2368421052631579,13,0.07902020401835218
0.1,0.2368421052631579,14,0.07703904150236822
0.1,0.2368421052631579,15,0.07526432419816735
0.1,0.2368421052631579,16,0.07364027372388156
0.1,0.2368421052631579,17,0.07211689808361356
0.1,0.2368421052631579,18,0.07013945311724308
0.1,0.2368421052631579,19,0.06823236897430099
0.1,0.2368421052631579,20,0.06647759730677841
0.1,0.2368421052631579,21,0.06450740360350732
0.1,0.2368421052631579,22,0.06286876953884371
0.1,0.2368421052631579,23,0.06138449022685525
0.1,0.2368421052631579,24,0.059838530832685324
0.1,0.2368421052631579,25,0.058493749968393224
0.1,0.2368421052631579,26,0.05680079850669102
0.1,0.2368421052631579,27,0.05479883417473015
0.1,0.2368421052631579,28,0.05320459590465554
0.1,0.2368421052631579,29,0.05178772047647011
0.1,0.2368421052631579,30,0.05045074427612484
0.1,0.2368421052631579,31,0.0485355575388296
