initial_trust,initial_risk,round,quorum
0.1,0.2368421052631579,34,0.6244061681787211
0.1,0.2368421052631579,35,0.624213070981227
0.1,0.2368421052631579,36,0.624039886519792
0.1,0.2368421052631579,37,0.6238670146533583
0.1,0.2368421052631579,38,0.6237165602675379
0.1,0.2368421052631579,39,0.6235295933818809
0.1,0.2368421052631579,40,0.6233901436918647
0.1,0.2368421052631579,41,0.6232458500309617
0.1,0.2368421052631579,42,0.6230654141329625
0.1,0.2368421052631579,43,0.6229163792880321
0.1,0.2368421052631579,44,0.6227994933159811
0.1,0.2368421052631579,45,0.6226910826266806
0.1,0.2368421052631579,46,0.6225963213930973
0.1,0.2368421052631579,47,0.6225049053572893
0.1,0.2368421052631579,48,0.622405338174611
0.1,0.2368421052631579,49,0.6222844296207435
0.1,0.2368421052631579,50,0.6221865605850216
0.1,0.2368421052631579,51,0.6220977617053448
0.1,0.2368421052631579,52,0.6219867620935355
0.1,0.2368421052631579,53,0.621892299001281
0.1,0.2368421052631579,54,0.6218168851368563
0.1,0.2368421052631579,55,0.6217691585457957
0.1,0.2368421052631579,56,0.6216987321402261
0.1,0.2368421052631579,57,0.6216500851214875
0.1,0.2368421052631579,58,0.6215845464076758
0.1,0.2368421052631579,59,0.6215256493298346
0.1,0.2368421052631579,60,0.6214599544725354
0.1,0.2368421052631579,61,0.6213969254592644
0.1,0.2368421052631579,62,0.6213337926949833
0.1,0.2368421052631579,63,0.62126453241218
0.1,0.2368421052631579,64,0.6211982285848257
0.1,0.2368421052631579,65,0.6211407644660517
0.1,0.2368421052631579,66,0.6210786026143432
0.1,0.2368421052631579,67,0.6210074457809517
0.1,0.2368421052631579,68,0.6209480917709814
0.1,0.2368421052631579,69,0.6208964657954823
0.1,0.2368421052631579,70,0.6208447637923177
0.1,0.2368421052631579,71,0.6208115143883237
0.1,0.2368421052631579,72,0.6207918277407074
0.1,0.2368421052631579,73,0.6207651491441579
0.1,0.2368421052631579,74,0.6207437273068349
0.1,0.2368421052631579,75,0.6207226906880348
0.1,0.2368421052631579,76,0.620701787191681
0.1,0.2368421052631579,77,0.6206782099310971
0.1,0.2368421052631579,78,0.6206565288612619
0.1,0.2368421052631579,79,0.6206362402517241
0.1,0.2368421052631579,80,0.6206150258410065
0.1,0.2368421052631579,81,0.62059165287197
0.1,0.2368421052631579,82,0.6205717440514494
0.1,0.2368421052631579,83,0.6205458890598979
