initial_trust,initial_risk,round,governance_weight
0.1,0.04736842105263158,58,0.0739846203267235
0.1,0.04736842105263158,59,0.07493959089196019
0.1,0.04736842105263158,60,0.07790991185393366
0.1,0.04736842105263158,61,0.07948051894497822
0.1,0.04736842105263158,62,0.07904377747559546
0.1,0.04736842105263158,63,0.07964359519949105
0.1,0.04736842105263158,64,0.07891414070874787
0.1,0.04736842105263158,65,0.07303575392132693
0.1,0.04736842105263158,66,0.07685695386485955
0.1,0.04736842105263158,67,0.0759302481661362
0.1,0.04736842105263158,68,0.07301140076170626
0.1,0.04736842105263158,69,0.07226183561545087
0.1,0.04736842105263158,70,0.07017215434141937
0.1,0.04736842105263158,71,0.07403597853651077
0.1,0.04736842105263158,72,0.06981215140701853
0.1,0.04736842105263158,73,0.07449630042138693
0.1,0.04736842105263158,74,0.07297102988829615
0.1,0.04736842105263158,75,0.0725722853311788
0.1,0.04736842105263158,76,0.07138901137100642
0.1,0.04736842105263158,77,0.0696099482728269
0.1,0.04736842105263158,78,0.06753918983199221
0.1,0.04736842105263158,79,0.06816249330511005
0.1,0.04736842105263158,80,0.0726970269070787
0.1,0.04736842105263158,81,0.0722378448811453
0.1,0.04736842105263158,82,0.07146231246800723
0.1,0.04736842105263158,83,0.0698546787515925
0.1,0.04736842105263158,84,0.07153903417164463
0.1,0.04736842105263158,85,0.07228773610132704
0.1,0.04736842105263158,86,0.06569617557921738
0.1,0.04736842105263158,87,0.07008262232036058
0.1,0.04736842105263158,88,0.06735520823545293
0.1,0.04736842105263158,89,0.06966732040830982
0.1,0.04736842105263158,90,0.06520690400042668
0.1,0.04736842105263158,91,0.0703847543737389
0.1,0.04736842105263158,92,0.06556966697854244
0.1,0.04736842105263158,93,0.06650766527711133
0.1,0.04736842105263158,94,0.06803589291179535
0.1,0.04736842105263158,95,0.06500954913841141
0.1,0.04736842105263158,96,0.06384809742233569
0.1,0.04736842105263158,97,0.06288369077698401
0.1,0.04736842105263158,98,0.06747866509163318
0.1,0.04736842105263158,99,0.06618093703338247
0.1,0.09473684210526316,0,0.09129256793230357
0.1,0.09473684210526316,1,0.08575769368960998
0.1,0.09473684210526316,2,0.08710954404935373
0.1,0.09473684210526316,3,0.0871955052294309
0.1,0.09473684210526316,4,0.09138211440399188
0.1,0.09473684210526316,5,0.08309991526018921
0.1,0.09473684210526316,6,0.08515336700057967
0.1,0.09473684210526316,7,0.08461952547852908
0.1,0.09473684210526316,8,0.08370416795617698
0.1,0.09473684210526316,9,0.08174376656343031
0.1,0.09473684210526316,10,0.08178444286065495
0.1,0.09473684210526316,11,0.08629037859248317
0.1,0.09473684210526316,12,0.08024768272943247
0.1,0.09473684210526316,13,0.0809888453948775
0.1,0.09473684210526316,14,0.08471161765432146
0.1,0.09473684210526316,15,0.07717380570029266
0.1,0.09473684210526316,16,0.08261789851137333
0.1,0.09473684210526316,17,0.07860085378918798
0.1,0.09473684210526316,18,0.07992054597717924
0.1,0.09473684210526316,19,0.07596655975735711
0.1,0.09473684210526316,20,0.07620700867027315
0.1,0.09473684210526316,21,0.0744914567279008
0.1,0.09473684210526316,22,0.07596811093458145
0.1,0.09473684210526316,23,0.07642960907072743
0.1,0.09473684210526316,24,0.0752733968057955
0.1,0.09473684210526316,25,0.07598169375060751
0.1,0.09473684210526316,26,0.07538131338260658
0.1,0.09473684210526316,27,0.0710978344236486
0.1,0.09473684210526316,28,0.07231924691727772
0.1,0.09473684210526316,29,0.07079599787228621
0.1,0.09473684210526316,30,0.07259884914643223
0.1,0.09473684210526316,31,0.06797515108831977
0.1,0.09473684210526316,32,0.07191491423850613
0.1,0.09473684210526316,33,0.06781975365125605
0.1,0.09473684210526316,34,0.07042756330475997
0.1,0.09473684210526316,35,0.06554527520879573
0.1,0.09473684210526316,36,0.06436930431854393
0.1,0.09473684210526316,37,0.06391332596758263
0.1,0.09473684210526316,38,0.06508744294033066
0.1,0.09473684210526316,39,0.06316201752703689
0.1,0.09473684210526316,40,0.06786214951855779
0.1,0.09473684210526316,41,0.0673173245857844
0.1,0.09473684210526316,42,0.06069308738039578
0.1,0.09473684210526316,43,0.06169563125483153
0.1,0.09473684210526316,44,0.06382569958997576
0.1,0.09473684210526316,45,0.06488067913486444
0.1,0.09473684210526316,46,0.06362515989705562
0.1,0.09473684210526316,47,0.06331929497074004
0.1,0.09473684210526316,48,0.06235085360168123
0.1,0.09473684210526316,49,0.06282757011572611
0.1,0.09473684210526316,50,0.059084738364477224
0.1,0.09473684210526316,51,0.0584850103404128
0.1,0.09473684210526316,52,0.06017821396108379
0.1,0.09473684210526316,53,0.06044660433726007
0.1,0.09473684210526316,54,0.05820610469258632
0.1,0.09473684210526316,55,0.058072181659330764
0.1,0.09473684210526316,56,0.05505801378736781
0.1,0.09473684210526316,57,0.05692451197362636
0.1,0.09473684210526316,58,0.05425670061951074
0.1,0.09473684210526316,59,0.055793909816492196
0.1,0.09473684210526316,60,0.05165956775849383
0.1,0.09473684210526316,61,0.053489419865847244
0.1,0.09473684210526316,62,0.05050588034387648
0.1,0.09473684210526316,63,0.05172276292354182
0.1,0.09473684210526316,64,0.049937002022564576
0.1,0.09473684210526316,65,0.05044125353713317
