theta_seq,physics_alarm_seq
209.41221565903356,1
219.2092426144257,1
215.07861963299223,1
243.77321527670415,1
252.02338673689025,1
262.2375310885873,1
265.86908542335823,1
251.8859624001888,1
249.24680717715864,1
245.66872835454183,1
272.0448768869072,1
267.5355654746904,1
267.39700549562787,1
263.96022589417987,1
285.922494148526,1
274.3589363975473,1
290.4930205359141,1
281.26460955080336,1
266.74689306474284,1
256.0536121804488,1
245.29716194489535,1
234.86685610780904,1
233.62992486297424,1
231.83234382284675,1
245.73049198619728,1
245.71341793432848,1
257.666815879042,1
274.32236891428016,1
293.17630044237336,1
288.1139991290713,1
278.2960417390884,1
265.74817002070125,1
260.75958156246656,1
252.2175836918039,1
249.2426314360991,1
266.26106462428044,1
267.1870622036664,1
291.80723549902643,1
274.402665892922,1
268.62614591824354,1
256.252508565193,1
265.70745708503955,1
252.0229031518876,1
242.3815187047739,1
233.39985261788135,1
232.0807413653852,1
258.9394141429063,1
274.72923572805234,1
262.34370592019286,1
254.40770505556628,1
240.4956733741708,1
236.58790013790156,1
227.0872764677084,1
222.10117287511383,1
242.49877192331329,1
231.1067520598402,1
237.2574279323549,1
236.6715869978307,1
255.92485523339573,1
251.6167352702692,1
237.899034700929,1
228.50774906048247,1
227.11550614576183,1
243.4464021104232,1
234.69922543653948,1
225.6376431213792,1
231.4246474627704,1
223.83642031832943,1
224.10091358033236,1
235.84977711827395,1
231.1530111679879,1
232.250425421163,1
250.34268461950631,1
245.52032570740923,1
258.9911242046783,1
281.8140469721164,1
283.16120659969505,1
273.4778964764328,1
261.1420014092471,1
249.0569379651056,1
262.3654677812231,1
251.6075608726635,1
251.0901260733742,1
258.41116369837744,1
272.31915656341164,1
260.22705004846927,1
246.53274256264095,1
249.1037464315064,1
245.1059901333481,1
240.7532396970303,1
233.8704749488416,1
231.20073659097773,1
221.80847812654727,1
242.79218196385696,1
231.4032233447001,1
247.56403406587447,1
236.60214781868217,1
232.08488958624065,1
225.1425718170248,1
217.6302775111369,1
246.76093285528648,1
239.34000641932496,1
233.6067857545008,1
225.45138572899785,1
228.96913677904527,1
251.51905128211257,1
270.4569863412558,1
257.7169864147655,1
254.1598522593088,1
252.0513899891345,1
242.65527812593584,1
254.0820319644367,1
243.99958029305893,1
237.8162627072584,1
260.87398850350274,1
247.7731179702573,1
244.7256716494316,1
258.84684992282774,1
247.39617404352205,1
272.6959854847065,1
260.6239515473291,1
247.77227369349256,1
240.6571326528434,1
261.70569241585287,1
256.85547150915994,1
246.2710715696664,1
271.1397041864627,1
266.47110350631414,1
260.5905821058291,1
248.92695209594888,1
239.49429563360388,1
235.0990704654757,1
225.1450659021928,1
216.41963587252928,1
244.25731946374503,1
261.5951020298029,1
252.5462962306977,1
274.4978943127577,1
269.9405245231945,1
265.87566902781293,1
255.3111733952942,1
252.1328343219428,1
247.30674568218063,1
241.8291557276602,1
230.1848151598751,1
219.32350699489507,1
213.0664479933448,1
206.04692131143017,1
203.0537927866729,1
228.18964066591175,1
227.09994580064944,1
219.6910043909812,1
215.69077455857035,1
208.81868305571749,1
237.0050910607043,1
236.12173729646253,1
224.72957541050133,1
221.00279683037317,1
220.28796609436776,1
240.06118699826644,1
231.5427051799986,1
222.6253467346264,1
215.936705159618,1
215.37534504081864,1
218.9454366635621,1
208.1110119549882,1
198.7004993771334,1
190.72690621246565,1
183.339060238249,1
177.08056719855273,1
171.5911299209069,1
165.8691794445035,1
160.55872134113594,1
155.97163270467223,1
151.7419091594839,1
148.55399874521748,1
145.0766117106407,1
141.96069295435083,1
139.25099606929314,1
137.03404658561777,1
134.56625176681214,1
132.32340071610187,1
129.97378977382567,1
129.06480690760634,1
